% date | month | active case | removed case
2	8	8636	202826
3	8	8388	203932
4	8	9148	203932
5	8	10159	203945
6	8	9758	205452
7	8	10861	205454
8	8	10236	206660
9	8	10621	206660
10	8	11335	207165
11	8	11362	208168
12	8	11674	209176
13	8	12188	210081
14	8	11935	211839
15	8	12288	212190
16	8	12807	212190
17	8	14490	212196
18	8	15900	212205
19	8	16486	213214
20	8	17160	214124
21	8	17893	215128
22	8	15576	218281
23	8	15557	218932
24	8	17181	218936
25	8	18627	218945
26	8	15415	223585
27	8	15711	224854
28	8	15693	226421
29	8	15978	226847
30	8	16089	227206
31	8	15521	229271
1	9	14820	231181
2	9	14898	232493
3	9	14815	233999
4	9	16280	234001
5	9	15447	235609
6	9	16115	235609
7	9	17220	236405
8	9	14947	240009
9	9	15039	241310
10	9	15388	242719
11	9	17002	242723
12	9	15819	244727
13	9	16170	245128
14	9	16235	246986
15	9	16299	248545
16	9	18316	248549
17	9	18285	250757
18	9	18780	252464
19	9	19342	252966
20	9	20007	253470
21	9	19770	255781
22	9	19785	257391
23	9	20197	259008
24	9	22326	259019
25	9	24676	259030
26	9	25993	259032
27	9	26004	260334
28	9	26673	261945
29	9	26710	263756
30	9	27340	265571
1	10	28044	267486
2	10	29267	269096
3	10	29631	270397
4	10	30069	271502
5	10	31341	273316
6	10	31884	275235
7	10	33761	277352
8	10	36347	279167
9	10	38991	281487
10	10	40262	283191
11	10	41889	284402
12	10	44473	286621
13	10	46839	288840
14	10	50071	291671
15	10	54406	294410
16	10	59356	297436
17	10	61880	299853
18	10	65215	301766
19	10	69032	304699
20	10	72643	308255
21	10	79256	312099
22	10	87730	316144
23	10	96960	320390
24	10	103597	324211
25	10	110399	327238
26	10	118576	331682
27	10	126456	336963
28	10	136362	343259
29	10	148718	349635
30	10	161497	356223
31	10	175507	356283
1	11	177824	366522
2	11	186652	373934
3	11	194748	382383
4	11	204931	392428
5	11	216426	402690
6	11	227398	413964
7	11	235046	423435
8	11	241602	430905
9	11	247815	441157
10	11	252580	453060
11	11	259294	466882
12	11	269562	480076
13	11	278619	494203
14	11	283180	505719
15	11	287852	515092
16	11	289435	528091
17	11	290384	543348
18	11	294541	559992
19	11	301721	576488
20	11	308483	593176
21	11	310932	607339
22	11	313968	618143
23	11	313265	633383
24	11	311341	651565
25	11	311850	671881
26	11	313440	691867
27	11	315053	712272
28	11	314593	727377
29	11	316774	738833
30	11	313901	755862
1	12	309502	776159
2	12	308420	797412
3	12	310482	818260
4	12	312992	839291
5	12	315420	854675
6	12	319286	865559
7	12	317167	882839
8	12	316264	902061
9	12	319449	922804
10	12	327099	943333
11	12	334856	963920
12	12	340921	979671
13	12	348177	990306
14	12	350054	1007087
15	12	351526	1026992
16	12	358046	1049441
17	12	365673	1072765
18	12	374488	1095503
19	12	382047	1111914
20	12	390619	1124164
21	12	391419	1142697
22	12	391670	1164941
23	12	398681	1189227
24	12	400245	1214081
25	12	396669	1236068
26	12	389312	1253857
27	12	388120	1267202
28	12	385669	1286976
29	12	381543	1310220
30	12	383987	1336186
31	12	383124	1362394
